date,channel,campaign,product,impressions,clicks,leads,customers,spend,revenue
2026-01-01,Google Ads,Search - Growth Plan,NovaPay,120000,9600,1320,420,18000,61500
2026-01-01,Meta Ads,Lookalike - New Users,BrightLoan,180000,7200,760,190,14500,24200
2026-01-01,Email,Lifecycle - Warm Leads,NovaPay,52000,10400,2180,840,1900,89800
2026-01-01,TikTok Ads,Short Form Education,BrightLoan,210000,8400,690,130,9800,14900
2026-01-01,Affiliate,Partner Marketplace,OrbitCard,90000,5400,980,350,8500,40250
2026-02-01,Google Ads,Search - Growth Plan,NovaPay,135000,11475,1600,510,20250,77000
2026-02-01,Meta Ads,Lookalike - New Users,BrightLoan,200000,8600,930,240,16200,31100
2026-02-01,Email,Lifecycle - Warm Leads,NovaPay,61000,12810,2660,1010,2100,112000
2026-02-01,TikTok Ads,Short Form Education,BrightLoan,230000,10120,860,165,11200,19800
2026-02-01,Affiliate,Partner Marketplace,OrbitCard,98000,6174,1110,410,9400,48000
2026-03-01,Google Ads,Search - Growth Plan,NovaPay,150000,12900,1800,590,22500,91500
2026-03-01,Meta Ads,Lookalike - New Users,BrightLoan,220000,9900,1020,280,18100,37600
2026-03-01,Email,Lifecycle - Warm Leads,NovaPay,68000,14280,2880,1130,2400,128500
2026-03-01,TikTok Ads,Short Form Education,BrightLoan,250000,11250,950,185,12800,22800
2026-03-01,Affiliate,Partner Marketplace,OrbitCard,105000,6825,1240,470,10100,56800
2026-04-01,Google Ads,Search - Growth Plan,NovaPay,170000,14450,2050,690,25500,108200
2026-04-01,Meta Ads,Lookalike - New Users,BrightLoan,245000,11270,1200,330,20400,44900
2026-04-01,Email,Lifecycle - Warm Leads,NovaPay,74000,15910,3200,1260,2700,147600
2026-04-01,TikTok Ads,Short Form Education,BrightLoan,278000,12510,1060,215,14500,27400
2026-04-01,Affiliate,Partner Marketplace,OrbitCard,112000,7504,1390,530,11200,65700
